Gene,Buffering Score,GSM Codes,Control
RPL5,4,"GSM2360175, GSM2360176, GSM2360179, GSM2360180","notcontrol, notcontrol, control, control"
RPLP1,4,"GSM3900208, GSM3900209, GSM3900210, GSM3900211","control, control, control, notcontrol"
RPLP2,4,"GSM3900208, GSM3900209, GSM3900210, GSM3900212, GSM3900213","control, control, control, notcontrol, notcontrol"
EIF1,3,"GSM2327826, GSM2327828","notcontrol, control"
DDX3X,3,"GSM4258310, GSM4258311, GSM4258312, GSM4258314, GSM4258315, GSM4258316, GSM4258317, GSM4258319","control, control, control, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, control, notcontrol, notcontrol, notcontrol"
HNRNPC,3,"GSM2204389, GSM2204390, GSM2204391, GSM2204392, GSM2204393, GSM2204394, GSM2204395, GSM2204396","control, control, control, control, notcontrol, notcontrol, notcontrol, notcontrol"
RPS19,3,"GSM2360175, GSM2360176, GSM2360177, GSM2360178 ","notcontrol, notcontrol, control, control"
EIF3E,3,"GSM3762993, GSM3762994, GSM3762995, GSM3762996, GSM3762997, GSM3762998","notcontrol, notcontrol, notcontrol, control, control, control"
DHX36,2,"GSM2817679, GSM2817680, GSM2817681, GSM2817682, GSM2817683, GSM2817684, GSM2817685, GSM2817686","control, control, control, control, control, notcontrol, notcontrol, notcontrol"
DHX9,1,"GSM2817679, GSM2817680, GSM2817681, GSM2817682, GSM2817683, GSM2817687, GSM2817688, GSM2817689","control, control, control, control, control, notcontrol, notcontrol, notcontrol"
YTHDF3,1,"GSM3944607, GSM3944608, GSM3944615, GSM3944616, GSM3944617","control, control, notcontrol, notcontrol, notcontrol"
SETD2,1,"GSM3450419, GSM3450420, GSM3450423, GSM3450424","control, control, notcontrol, notcontrol"
EIF2B5,0,"GSM2883304, GSM2883305, GSM2883306, GSM2883307, GSM2883313, GSM2883314, GSM2883315, GSM2883320, GSM2883321, GSM2883322, GSM2883323","control, notcontrol, control, notcontrol, notcontrol, control, notcontrol, control, notcontrol, control, notcontrol"
YTHDF1,0,"GSM4054749, GSM4054750, GSM4054751","notcontrol, notcontrol, control"
ARNTL,0,"GSM1371443, GSM1371444, GSM1371445, GSM1371446, GSM1371447, GSM1371448, GSM1371449, GSM1371450, GSM1371451, GSM1371452, GSM1371453, GSM1371455, GSM1371456, GSM1371457, GSM1371458, GSM1371459, GSM1371460, GSM1371461, GSM1371462, GSM1371463, GSM1371464, GSM1371465, GSM1371466, GSM1371467, GSM1371468, GSM1371469, GSM1371470, GSM1371471, GSM1371472, GSM1371473, GSM1371474, GSM1371475, GSM1371476, GSM1371477, GSM1371478, GSM1371479, GSM1371480, GSM1371481, GSM1371482, GSM1371483, GSM1371484, GSM1371485, GSM1371486, GSM1371487, GSM1371488, GSM1371489, GSM1371490","control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, control, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol, notcontrol"
METTL3,0,"GSM2602082, GSM2602083, GSM2602084, GSM2602088, GSM2602089, GSM2602090","control, control, control, notcontrol, notcontrol, notcontrol"
KBTBD8,0,"GSM1782874, GSM1782875, GSM1782876, GSM1782878, GSM1782879","control, control, notcontrol, control, notcontrol"
TCOF1,0,"GSM1782874, GSM1782875, GSM1782877, GSM1782878, GSM1782880","control, control, notcontrol, control, notcontrol"
FBL,0,"GSM2825128, GSM2825129, GSM2825131, GSM2825132","control, notcontrol, notcontrol, control"
YTHDF1,0,"GSM3944607, GSM3944608, GSM3944609, GSM3944610, GSM3944611","control, control, notcontrol, notcontrol, notcontrol"
YTHDF2,0,"GSM3944607, GSM3944608, GSM3944613, GSM3944614","control, control, notcontrol, notcontrol"
METTL14,0,"GSM3450419, GSM3450420, GSM3450421, GSM3450422","control, control, notcontrol, notcontrol"
FKBP10,0,"GSM3718424, GSM3718425, GSM3718426, GSM3718427","control, control, notcontrol, notcontrol"
PDCD4,0,"GSM4110755, GSM4110757, GSM4110758, GSM4110759, GSM4110760","notcontrol, notcontrol, control, control, control"
SLC3A2,0,"GSM1446854, GSM1446856","control, notcontrol"
EIF2A,0,"GSM5291928, GSM5291929, GSM5291930, GSM5291931, GSM5291932, GSM5291933","control, control, notcontrol, notcontrol, notcontrol, notcontrol"
